abandon|放弃
temporary|暂时的；临时的（adj.）
tempt|诱惑；吸引；引诱（v.）
tend|倾向；趋于；照料（v.）
tendency|趋势；倾向；偏好（n.）
tender|温柔的；嫩的；投标（adj./n./v.）
tense|紧张的；绷紧的；时态（adj./v./n.）
tension|紧张；张力；拉力（n.）
term|术语；学期；期限（n./v.）
territory|领土；领域；版图（n.）
theft|盗窃；偷窃；盗窃罪（n.）
theme|主题；主旨；主旋律（n.）
theory|理论；学说；原理（n.）
therapy|治疗；疗法；理疗（n.）
therefore|因此；所以；因而（adv.）
thoughtful|体贴的；深思熟虑的；关切的（adj.）
threat|威胁；恐吓；凶兆（n.）
threaten|威胁；恐吓；预示（v.）
tide|潮水；潮汐；趋势（n.）
tight|紧的；牢固的；紧身的（adj.）
tissue|纸巾；薄纸；组织（n.）
title|标题；头衔；称号（n.）
toast|吐司；烤面包；祝酒；干杯（n./v.）
tobacco|烟草；烟叶；烟草制品（n.）
tolerate|容忍；忍受；容许（v.）
tone|语气；音调；基调；缓和（n./v.）
tongue|舌头；语言；口语（n.）
toothache|牙痛；牙疼（n.）
topic|话题；主题；题目（n.）
torch|火把；手电筒；火炬（n.）
tough|艰难的；坚韧的；强硬的；忍受（adj./v.）
tournament|锦标赛；联赛；比赛（n.）
towel|毛巾；浴巾；擦干（n./v.）
trace|痕迹；踪迹；追踪；追溯（n./v.）
track|轨道；小路；跟踪；追踪（n./v.）
traditional|传统的；惯例的；守旧的（adj.）
tragedy|悲剧；惨案；不幸（n.）
trait|特征；特质；品性（n.）
transaction|交易；业务；办理（n.）
transfer|转移；转账；调任（v./n.）
transform|使改变形态；使改观；转化（v.）
transition|过渡；转变；变迁（n./v.）
transparency|透明；透明度；透明物（n.）
transplant|移植（器官）；移栽（植物）（v./n.）
transport|运输；运送；交通工具（v./n.）
transportation|交通；运输；运输系统（n.）
trap|陷阱；圈套；困住（n./v.）
treatment|治疗；疗法；对待（n.）
tremendous|巨大的；极大的；极好的（adj.）
trend|趋势；趋向；潮流（n.）
trial|试验；审判；试用（n.）
tribe|部落；部族；宗族（n.）
trick|诡计；花招；欺骗（n./v.）
trigger|触发；引起；扳机（v./n.）
tropical|热带的；炎热的；热带地区的（adj.）
troublesome|麻烦的；讨厌的；棘手的（adj.）
trunk|树干；行李箱；象鼻（n.）
tuition|学费；辅导费；讲授（n.）
tune|曲调；旋律；调整（n./v.）
tunnel|隧道；地道；开凿隧道（n./v.）
turnover|营业额；人员流动率；翻倒（n./v.）
twin|双胞胎之一；成对的；孪生的（n./adj.）
twist|扭曲；转弯；曲解（v./n.）
typhoon|台风（n.）
typical|典型的；有代表性的；特有的（adj.）
ultimately|最终；根本上；归根结底（adv.）
underestimate|低估；看轻；对… 估计不足（v./n.）
undergo|经历；遭受；承受（v.）
undergraduate|本科生；大学肄业生（n.）
underline|强调；在… 下划线（v.）
undertake|承担；从事；保证（v.）
unfold|展开；呈现；披露（v.）
union|联盟；工会；联合（n.）
unique|独特的；独一无二的；稀罕的（adj.）
universal|普遍的；通用的；全世界的（adj.）
unlike|不像；与… 不同（prep.）
unusual|不寻常的；罕见的；独特的（adj.）
update|更新；使现代化；最新消息（v./n.）
upgrade|升级；提升；改进（v./n.）
upheaval|动荡；剧变；动乱（n.）
upper|上部的；较高的；上层的（adj.）
upset|使心烦；打乱；心烦的（v./adj./n.）
urban|城市的；都市的；住在都市的（adj.）
urge|催促；力劝；强烈欲望（v./n.）
urgent|紧急的；急迫的；紧要的（adj.）
usage|用法；使用量；惯例（n.）
utilise|利用；运用；应用（v.）
vacant|空缺的；空的；未被占用的（adj.）
vacuum|真空；真空吸尘器；用吸尘器清扫（n./v.）
vague|模糊的；不明确的；含糊的（adj.）
vain|徒劳的；自负的；无结果的（adj.）
valley|山谷；溪谷；流域（n.）
vapour|蒸气；水汽（n.）
variable|可变的；变量（adj./n.）
variety|种类；多样性；变种（n.）
vary|改变；变化；使多样化（v.）
vase|花瓶；装饰瓶（n.）
vast|广阔的；巨大的；大量的（adj.）
vegetation|植被；植物；草木（n.）
vehicle|车辆；交通工具；媒介（n.）
venture|冒险；投机；敢于（n./v.）
verbal|口头的；言语的；动词的（adj.）
verify|核实；验证；查证（v.）
version|版本；译本；说法（n.）
versus|对；对抗；与… 相对（prep.）
victim|受害者；牺牲品；遇难者（n.）
vigorous|精力充沛的；强健的；有力的（adj.）
violence|暴力；暴行；激烈（n.）
violent|暴力的；猛烈的；剧烈的（adj.）
virtual|虚拟的；实质上的；模拟的（adj.）
virtually|实际上；几乎；差不多（adv.）
virtue|美德；德行；优点（n.）
visible|可见的；明显的；能看见的（adj.）
vision|视力；愿景；想象力（n.）
vital|至关重要的；生命的；必需的（adj.）
vitamin|维生素；维他命（n.）
vivid|生动的；逼真的；鲜明的（adj.）
vocabulary|词汇；词汇量；词表（n.）
vocation|职业；天职；使命感（n.）
volcano|火山（n.）
volume|音量；体积；卷册（n.）
voyage|航行；航海；旅程（n./v.）
waist|腰；腰部；腰围（n.）
wander|漫步；徘徊；走神（v.）
ward|病房；选区；守护（n./v.）
warning|警告；警示；前兆（n./adj.）
washroom|洗手间；盥洗室；厕所（n.）
waterproof|防水的；不透水的；使防水（adj./v.）
weaken|削弱；减弱；使变弱（v.）
wealthy|富有的；富裕的；丰富的（adj.）
weapon|武器；兵器；工具（n.）
weave|编织；编造；交织（v./n.）
wedding|婚礼；结婚庆典；结合（n.）
weep|哭泣；流泪；哀悼（v./n.）
welfare|福利；幸福；社会保障（n.）
wheat|小麦；小麦粉（n.）
whisper|低语；私语；流言（v./n.）
whistle|吹口哨；鸣笛；口哨声（v./n.）
widespread|广泛的；普遍的；分布广的（adj.）
wilderness|荒野；荒地；荒芜（n.）
wildlife|野生生物；野生动植物（n.）
willingly|自愿地；乐意地；欣然地（adv.）
willingness|乐意；意愿；心甘情愿（n.）
wine|葡萄酒；果酒；喝酒（n./v.）
wire|电线；金属丝；发电报（n./v.）
wisdom|智慧；明智；至理名言（n.）
withdraw|撤回；提取；退出（v.）
withdrawal|撤退；取款；戒毒期（n.）
withstand|承受；抵住；经受住（v.）
witness|目击者；见证；作证（n./v.）
wool|羊毛；毛线；毛织品（n.）
workshop|车间；作坊；研讨会（n.）
wrap|包裹；缠绕；围巾（v./n.）
wrestle|摔跤；搏斗；努力处理（v./n.）
wrinkle|皱纹；皱褶；起皱（n./v.）
wrist|手腕；腕关节；袖口（n.）
yoghurt|酸奶；酸乳酪（n.）
zone|区域；地带；划分区域（n./v.）
